school,school,sex,afe,famsize,pstatus,medu,fedu,mjob,fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,dalc,walc,health,absences,g1,g2,g3
"""1""","""GP""","""F""",18,"""U""","""GT3""","""A""",4,4,"""at_home""","""teacher""","""course""","""mother""",2,2,0,"""yes""","""no""","""no""","""no""","""yes""","""yes""","""no""","""no""",4,3,4,1,1,3,4,0,11
"""2""","""GP""","""F""",17,"""U""","""GT3""","""T""",1,1,"""at_home""","""other""","""course""","""father""",1,2,0,"""no""","""yes""","""no""","""no""","""no""","""yes""","""yes""","""no""",5,3,3,1,1,3,2,9,11
"""3""","""GP""","""F""",15,"""U""","""LE3""","""T""",1,1,"""at_home""","""other""","""other""","""mother""",1,2,0,"""yes""","""no""","""no""","""no""","""yes""","""yes""","""yes""","""no""",4,3,2,2,3,3,6,12,13
"""4""","""GP""","""F""",15,"""U""","""GT3""","""T""",4,2,"""health""","""services""","""home""","""mother""",1,3,0,"""no""","""yes""","""no""","""yes""","""yes""","""yes""","""yes""","""yes""",3,2,2,1,1,5,0,14,14
"""5""","""GP""","""F""",16,"""U""","""GT3""","""T""",3,3,"""other""","""other""","""home""","""father""",1,2,0,"""no""","""yes""","""no""","""no""","""yes""","""yes""","""no""","""no""",4,3,2,1,2,5,0,11,13
"""6""","""GP""","""M""",16,"""U""","""LE3""","""T""",4,3,"""services""","""other""","""reputation""","""mother""",1,2,0,"""no""","""yes""","""no""","""yes""","""yes""","""yes""","""yes""","""no""",5,4,2,1,2,5,6,12,12
"""7""","""GP""","""M""",16,"""U""","""LE3""","""T""",2,2,"""other""","""other""","""home""","""mother""",1,2,0,"""no""","""no""","""no""","""no""","""yes""","""yes""","""yes""","""no""",4,4,4,1,1,3,0,13,12
"""8""","""GP""","""F""",17,"""U""","""GT3""","""A""",4,4,"""other""","""teacher""","""home""","""mother""",2,2,0,"""yes""","""yes""","""no""","""no""","""yes""","""yes""","""no""","""no""",4,1,4,1,1,1,2,10,13
"""9""","""GP""","""M""",15,"""U""","""LE3""","""A""",3,2,"""services""","""other""","""home""","""mother""",1,2,0,"""no""","""yes""","""no""","""no""","""yes""","""yes""","""yes""","""no""",4,2,2,1,1,1,0,15,16
"""10""","""GP""","""M""",15,"""U""","""GT3""","""T""",3,4,"""other""","""other""","""home""","""mother""",1,2,0,"""no""","""yes""","""no""","""yes""","""yes""","""yes""","""yes""","""no""",5,5,1,1,1,5,0,12,12
"""11""","""GP""","""F""",15,"""U""","""GT3""","""T""",4,4,"""teacher""","""health""","""reputation""","""mother""",1,2,0,"""no""","""yes""","""no""","""no""","""yes""","""yes""","""yes""","""no""",3,3,3,1,2,2,2,14,14
"""12""","""GP""","""F""",15,"""U""","""GT3""","""T""",2,1,"""services""","""other""","""reputation""","""father""",3,3,0,"""no""","""yes""","""no""","""yes""","""yes""","""yes""","""yes""","""no""",5,2,2,1,1,4,0,10,12
"""13""","""GP""","""M""",15,"""U""","""LE3""","""T""",4,4,"""health""","""services""","""course""","""father""",1,1,0,"""no""","""yes""","""no""","""yes""","""yes""","""yes""","""yes""","""no""",4,3,3,1,3,5,0,12,13
"""14""","""GP""","""M""",15,"""U""","""GT3""","""T""",4,3,"""teacher""","""other""","""course""","""mother""",2,2,0,"""no""","""yes""","""no""","""no""","""yes""","""yes""","""yes""","""no""",5,4,3,1,2,3,0,12,12
"""15""","""GP""","""M""",15,"""U""","""GT3""","""A""",2,2,"""other""","""other""","""home""","""other""",1,3,0,"""no""","""yes""","""no""","""no""","""yes""","""yes""","""yes""","""yes""",4,5,2,1,1,3,0,14,14
"""16""","""GP""","""F""",16,"""U""","""GT3""","""T""",4,4,"""health""","""other""","""home""","""mother""",1,1,0,"""no""","""yes""","""no""","""no""","""yes""","""yes""","""yes""","""no""",4,4,4,1,2,2,6,17,17
"""17""","""GP""","""F""",16,"""U""","""GT3""","""T""",4,4,"""services""","""services""","""reputation""","""mother""",1,3,0,"""no""","""yes""","""no""","""yes""","""yes""","""yes""","""yes""","""no""",3,2,3,1,2,2,10,13,13
"""18""","""GP""","""F""",16,"""U""","""GT3""","""T""",3,3,"""other""","""other""","""reputation""","""mother""",3,2,0,"""yes""","""yes""","""no""","""yes""","""yes""","""yes""","""no""","""no""",5,3,2,1,1,4,2,13,14
"""19""","""GP""","""M""",17,"""U""","""GT3""","""T""",3,2,"""services""","""services""","""course""","""mother""",1,1,3,"""no""","""yes""","""yes""","""yes""","""yes""","""yes""","""yes""","""no""",5,5,5,2,4,5,2,8,8
"""20""","""GP""","""M""",16,"""U""","""LE3""","""T""",4,3,"""health""","""other""","""home""","""father""",1,1,0,"""no""","""no""","""no""","""yes""","""yes""","""yes""","""yes""","""no""",3,1,3,1,3,5,6,12,12
"""21""","""GP""","""M""",15,"""U""","""GT3""","""T""",4,3,"""teacher""","""other""","""reputation""","""mother""",1,2,0,"""no""","""no""","""no""","""no""","""yes""","""yes""","""yes""","""no""",4,4,1,1,1,1,0,12,13
"""22""","""GP""","""M""",15,"""U""","""GT3""","""T""",4,4,"""health""","""health""","""other""","""father""",1,1,0,"""no""","""yes""","""yes""","""no""","""yes""","""yes""","""yes""","""no""",5,4,2,1,1,5,0,11,12
"""23""","""GP""","""M""",16,"""U""","""LE3""","""T""",4,2,"""teacher""","""other""","""course""","""mother""",1,2,0,"""no""","""no""","""no""","""yes""","""yes""","""yes""","""yes""","""no""",4,5,1,1,3,5,0,12,13
"""24""","""GP""","""M""",16,"""U""","""LE3""","""T""",2,2,"""other""","""other""","""reputation""","""mother""",2,2,0,"""no""","""yes""","""no""","""yes""","""yes""","""yes""","""yes""","""no""",5,4,4,2,4,5,2,10,10
